compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 2.128
CTS-CN-F2F-2019-11-15-1422 CDER = 4.404
CTS-CN-F2F-2019-11-15-1423 CDER = 0.382
CTS-CN-F2F-2019-11-15-1426 CDER = 0.645
CTS-CN-F2F-2019-11-15-1428 CDER = 0.126
CTS-CN-F2F-2019-11-15-1434 CDER = 0.410
CTS-CN-F2F-2019-11-15-1447 CDER = 0.285
CTS-CN-F2F-2019-11-15-1448 CDER = 0.273
CTS-CN-F2F-2019-11-15-1449 CDER = 0.469
CTS-CN-F2F-2019-11-15-1452 CDER = 0.231
CTS-CN-F2F-2019-11-15-1458 CDER = 0.943
CTS-CN-F2F-2019-11-15-1461 CDER = 0.263
CTS-CN-F2F-2019-11-15-1463 CDER = 5.676
CTS-CN-F2F-2019-11-15-1468 CDER = 0.156
CTS-CN-F2F-2019-11-15-1469 CDER = 0.189
CTS-CN-F2F-2019-11-15-1470 CDER = 0.611
CTS-CN-F2F-2019-11-15-1473 CDER = 0.495
CTS-CN-F2F-2019-11-15-1475 CDER = 0.455
CTS-CN-F2F-2019-11-15-1477 CDER = 0.240
Avg CDER : 0.967
currently, compute dev set in 0.3 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 1.526
CTS-CN-F2F-2019-11-15-1422 CDER = 3.468
CTS-CN-F2F-2019-11-15-1423 CDER = 0.283
CTS-CN-F2F-2019-11-15-1426 CDER = 0.530
CTS-CN-F2F-2019-11-15-1428 CDER = 0.083
CTS-CN-F2F-2019-11-15-1434 CDER = 0.297
CTS-CN-F2F-2019-11-15-1447 CDER = 0.219
CTS-CN-F2F-2019-11-15-1448 CDER = 0.230
CTS-CN-F2F-2019-11-15-1449 CDER = 0.294
CTS-CN-F2F-2019-11-15-1452 CDER = 0.131
CTS-CN-F2F-2019-11-15-1458 CDER = 0.576
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 4.514
CTS-CN-F2F-2019-11-15-1468 CDER = 0.119
CTS-CN-F2F-2019-11-15-1469 CDER = 0.157
CTS-CN-F2F-2019-11-15-1470 CDER = 0.593
CTS-CN-F2F-2019-11-15-1473 CDER = 0.404
CTS-CN-F2F-2019-11-15-1475 CDER = 0.401
CTS-CN-F2F-2019-11-15-1477 CDER = 0.142
Avg CDER : 0.735
currently, compute dev set in 0.35 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 1.248
CTS-CN-F2F-2019-11-15-1422 CDER = 2.362
CTS-CN-F2F-2019-11-15-1423 CDER = 0.242
CTS-CN-F2F-2019-11-15-1426 CDER = 0.498
CTS-CN-F2F-2019-11-15-1428 CDER = 0.087
CTS-CN-F2F-2019-11-15-1434 CDER = 0.261
CTS-CN-F2F-2019-11-15-1447 CDER = 0.219
CTS-CN-F2F-2019-11-15-1448 CDER = 0.193
CTS-CN-F2F-2019-11-15-1449 CDER = 0.196
CTS-CN-F2F-2019-11-15-1452 CDER = 0.123
CTS-CN-F2F-2019-11-15-1458 CDER = 0.443
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 4.081
CTS-CN-F2F-2019-11-15-1468 CDER = 0.102
CTS-CN-F2F-2019-11-15-1469 CDER = 0.143
CTS-CN-F2F-2019-11-15-1470 CDER = 0.557
CTS-CN-F2F-2019-11-15-1473 CDER = 0.317
CTS-CN-F2F-2019-11-15-1475 CDER = 0.356
CTS-CN-F2F-2019-11-15-1477 CDER = 0.128
Avg CDER : 0.608
currently, compute dev set in 0.4 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 0.902
CTS-CN-F2F-2019-11-15-1422 CDER = 1.511
CTS-CN-F2F-2019-11-15-1423 CDER = 0.192
CTS-CN-F2F-2019-11-15-1426 CDER = 0.442
CTS-CN-F2F-2019-11-15-1428 CDER = 0.087
CTS-CN-F2F-2019-11-15-1434 CDER = 0.216
CTS-CN-F2F-2019-11-15-1447 CDER = 0.179
CTS-CN-F2F-2019-11-15-1448 CDER = 0.190
CTS-CN-F2F-2019-11-15-1449 CDER = 0.171
CTS-CN-F2F-2019-11-15-1452 CDER = 0.100
CTS-CN-F2F-2019-11-15-1458 CDER = 0.360
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 3.108
CTS-CN-F2F-2019-11-15-1468 CDER = 0.074
CTS-CN-F2F-2019-11-15-1469 CDER = 0.124
CTS-CN-F2F-2019-11-15-1470 CDER = 0.514
CTS-CN-F2F-2019-11-15-1473 CDER = 0.312
CTS-CN-F2F-2019-11-15-1475 CDER = 0.366
CTS-CN-F2F-2019-11-15-1477 CDER = 0.105
Avg CDER : 0.471
currently, compute dev set in 0.45 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 0.684
