compute CDER for magicdata-ramc
currently, compute Eval set in 0.2 threshold mode
tot_err: 216, tot_ref: 593
R8001_M8004_MS801 CDER = 0.364
tot_err: 170, tot_ref: 648
R8003_M8001_MS801 CDER = 0.262
tot_err: 437, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.370
tot_err: 194, tot_ref: 765
R8007_M8011_MS806 CDER = 0.254
tot_err: 163, tot_ref: 715
R8008_M8013_MS807 CDER = 0.228
tot_err: 54, tot_ref: 513
R8009_M8018_MS809 CDER = 0.105
tot_err: 74, tot_ref: 447
R8009_M8019_MS810 CDER = 0.166
tot_err: 109, tot_ref: 529
R8009_M8020_MS810 CDER = 0.206
Avg CDER : 0.244
currently, compute Eval set in 0.3 threshold mode
tot_err: 182, tot_ref: 593
R8001_M8004_MS801 CDER = 0.307
tot_err: 147, tot_ref: 648
R8003_M8001_MS801 CDER = 0.227
tot_err: 362, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.307
tot_err: 162, tot_ref: 765
R8007_M8011_MS806 CDER = 0.212
tot_err: 120, tot_ref: 715
R8008_M8013_MS807 CDER = 0.168
tot_err: 55, tot_ref: 513
R8009_M8018_MS809 CDER = 0.107
tot_err: 50, tot_ref: 447
R8009_M8019_MS810 CDER = 0.112
tot_err: 88, tot_ref: 529
R8009_M8020_MS810 CDER = 0.166
Avg CDER : 0.201
currently, compute Eval set in 0.35 threshold mode
tot_err: 151, tot_ref: 593
R8001_M8004_MS801 CDER = 0.255
tot_err: 141, tot_ref: 648
R8003_M8001_MS801 CDER = 0.218
tot_err: 339, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.287
tot_err: 146, tot_ref: 765
R8007_M8011_MS806 CDER = 0.191
tot_err: 97, tot_ref: 715
R8008_M8013_MS807 CDER = 0.136
tot_err: 53, tot_ref: 513
R8009_M8018_MS809 CDER = 0.103
tot_err: 44, tot_ref: 447
R8009_M8019_MS810 CDER = 0.098
tot_err: 82, tot_ref: 529
R8009_M8020_MS810 CDER = 0.155
Avg CDER : 0.180
currently, compute Eval set in 0.4 threshold mode
tot_err: 123, tot_ref: 593
R8001_M8004_MS801 CDER = 0.207
tot_err: 134, tot_ref: 648
R8003_M8001_MS801 CDER = 0.207
tot_err: 283, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.240
tot_err: 125, tot_ref: 765
R8007_M8011_MS806 CDER = 0.163
tot_err: 86, tot_ref: 715
R8008_M8013_MS807 CDER = 0.120
tot_err: 53, tot_ref: 513
R8009_M8018_MS809 CDER = 0.103
tot_err: 41, tot_ref: 447
R8009_M8019_MS810 CDER = 0.092
tot_err: 69, tot_ref: 529
R8009_M8020_MS810 CDER = 0.130
Avg CDER : 0.158
currently, compute Eval set in 0.45 threshold mode
tot_err: 117, tot_ref: 593
R8001_M8004_MS801 CDER = 0.197
tot_err: 113, tot_ref: 648
R8003_M8001_MS801 CDER = 0.174
tot_err: 593, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.503
tot_err: 112, tot_ref: 765
R8007_M8011_MS806 CDER = 0.146
tot_err: 70, tot_ref: 715
R8008_M8013_MS807 CDER = 0.098
tot_err: 50, tot_ref: 513
R8009_M8018_MS809 CDER = 0.097
tot_err: 29, tot_ref: 447
R8009_M8019_MS810 CDER = 0.065
tot_err: 63, tot_ref: 529
R8009_M8020_MS810 CDER = 0.119
Avg CDER : 0.175
currently, compute Eval set in 0.5 threshold mode
tot_err: 114, tot_ref: 593
R8001_M8004_MS801 CDER = 0.192
tot_err: 95, tot_ref: 648
R8003_M8001_MS801 CDER = 0.147
tot_err: 568, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.481
tot_err: 97, tot_ref: 765
R8007_M8011_MS806 CDER = 0.127
tot_err: 70, tot_ref: 715
R8008_M8013_MS807 CDER = 0.098
tot_err: 44, tot_ref: 513
R8009_M8018_MS809 CDER = 0.086
tot_err: 27, tot_ref: 447
R8009_M8019_MS810 CDER = 0.060
tot_err: 49, tot_ref: 529
R8009_M8020_MS810 CDER = 0.093
Avg CDER : 0.160
currently, compute Eval set in 0.55 threshold mode
tot_err: 98, tot_ref: 593
R8001_M8004_MS801 CDER = 0.165
tot_err: 86, tot_ref: 648
R8003_M8001_MS801 CDER = 0.133
tot_err: 554, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.469
tot_err: 90, tot_ref: 765
R8007_M8011_MS806 CDER = 0.118
tot_err: 71, tot_ref: 715
R8008_M8013_MS807 CDER = 0.099
tot_err: 48, tot_ref: 513
R8009_M8018_MS809 CDER = 0.094
tot_err: 24, tot_ref: 447
R8009_M8019_MS810 CDER = 0.054
tot_err: 48, tot_ref: 529
R8009_M8020_MS810 CDER = 0.091
Avg CDER : 0.153
currently, compute Eval set in 0.6 threshold mode
tot_err: 85, tot_ref: 593
R8001_M8004_MS801 CDER = 0.143
tot_err: 81, tot_ref: 648
R8003_M8001_MS801 CDER = 0.125
tot_err: 542, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.459
tot_err: 86, tot_ref: 765
R8007_M8011_MS806 CDER = 0.112
tot_err: 69, tot_ref: 715
R8008_M8013_MS807 CDER = 0.097
